Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,EMA_12,EMA_26,MACD,Signal_Line,Close_STD,MA,Upper_Band,Lower_Band
154.03173733798616,156.00984439895717,152.3833300312936,155.60023498535156,510300,0.0,0.0,,,155.60023498535156,155.60023498535156,0.0,0.0,,,,
155.8499995525865,156.77909800197378,153.21253863146126,153.3224334716797,469800,0.0,0.0,,,155.2498039832482,155.4315089473018,-0.18170496405360836,-0.03634099281072167,,,,
154.87094563899376,157.9979256386896,154.69111079006402,157.61830139160156,404000,0.0,0.0,,,155.61418819991795,155.5934935728055,0.02069462711244796,-0.024933868826087745,,,,
157.91800911161323,160.20580036782107,156.8490306935324,158.19773864746094,330700,0.0,0.0,,,156.01165749953995,155.78640061537257,0.2252568841673792,0.025104281772605652,,,,
157.61830141753572,158.73721960975536,150.47516731310986,152.05364990234375,716900,0.0,0.0,155.3584716796875,,155.40273325381747,155.50990056255563,-0.1071673087381555,-0.0013500363295465764,,,,
152.31340744138467,152.7030318236589,146.26922182375284,149.3562469482422,813200,0.0,0.0,154.10967407226562,,154.47250459142128,155.05407436890277,-0.5815697774814907,-0.11739398455993541,,,,
148.1873730289959,151.0646086025568,148.1873730289959,150.46517944335938,286400,0.0,0.0,153.53822326660156,,153.85599303018097,154.71415622626992,-0.8581631960889524,-0.2655478268657388,,,,
149.0165852503851,150.03559353731572,147.83771190189447,149.85577392578125,474100,0.0,0.0,151.9857177734375,,153.24057470642714,154.35427605586335,-1.1137013494362122,-0.43517853137983353,,,,
151.65403901782648,153.63213087080857,151.57411411292296,153.54222106933594,281000,0.0,0.0,151.0546142578125,,153.28698183918232,154.2941238346391,-1.0071419954567773,-0.5495712241952223,,,,
153.1625811036133,153.1625811036133,151.11454924869457,152.2734375,331000,0.0,0.0,151.09857177734375,,153.1310519408466,154.14444336540657,-1.013391424559984,-0.6423352642681747,,,,
152.30341141047052,153.22252497181304,151.34434301781624,152.29342651367188,262900,0.0,0.0,151.68600769042968,,153.00218649051203,154.00733100601883,-1.0051445155067995,-0.7148971145158997,,,,
152.0136998796034,155.26057496318842,152.0136998796034,153.88189697265625,446200,0.0,0.0,152.36935119628907,,153.13752656468807,153.99803959614013,-0.8605130314520579,-0.7440202979031314,,,,
153.19255194774328,154.69110961964557,152.81292770352755,154.08169555664062,309700,0.0,0.0,153.21453552246095,,153.2827833326808,154.00423633395496,-0.7214530012741704,-0.7395068385773392,,,,
153.901878894088,156.19967041706985,153.901878894088,154.9408721923828,363800,0.0,0.0,153.4942657470703,48.6987425876027,153.5378739264811,154.0736167679126,-0.5357428414314995,-0.6987540391481714,,,,
154.1815999279159,155.42041304647424,151.8038836296294,152.1735382080078,533700,0.0,0.0,153.4742858886719,43.90331173435757,153.32797612363905,153.93287020791965,-0.6048940842806019,-0.6799820481746575,,,,
151.75393425456167,152.87286768306595,150.84482085180542,151.4342498779297,421500,0.0,0.0,153.30245056152344,46.446029297052256,153.03663362429916,153.74778722051298,-0.7111535962138191,-0.6862163577824899,,,,
152.85288647240603,153.6621051970247,151.99371277528007,153.3723907470703,331700,0.0,0.0,153.20054931640624,41.22988382574492,153.08828856626394,153.71998007433206,-0.6316915080681156,-0.6753113878396151,,,,
153.97179939144397,154.85095809617187,152.0736324543634,152.4632568359375,393800,0.0,0.0,152.87686157226562,38.31433374149651,152.99212983852144,153.6268894640806,-0.6347596255591554,-0.6672010353835232,,,,
153.65211778841982,154.20159198878275,152.07363519652134,153.781982421875,262400,0.0,0.0,152.64508361816405,54.38417627742142,153.11364562057585,153.63837783132462,-0.5247322107487662,-0.6387072704565718,,,,
153.68208344386608,154.4713170957833,150.864787755416,152.03366088867188,301500,0.0,0.0,152.6171081542969,57.13522389297836,152.94749412335986,153.51950990964664,-0.5720157862867836,-0.6253689736226142,2.2648458974787697,153.137109375,157.66680116995752,148.60741758004247
151.84386145947084,154.25153256945813,151.53414673092277,154.13165283203125,300500,0.0,0.0,153.15658874511718,59.28173782178952,153.1296723862324,153.56485382982328,-0.43518144359089206,-0.5873314676162698,2.203768352590426,153.06368026733398,157.47121697251484,148.65614356215312
152.85288790430616,153.3324221078099,147.597950971426,147.96759033203125,521900,0.0,0.0,152.07562866210938,46.269247096052176,152.3355059163553,153.15024171887572,-0.8147358025204312,-0.6328123345971021,2.4788024086465428,152.79593811035156,157.75354292764465,147.83833329305847
149.06653162096356,152.9527905240581,147.89764323697753,152.38333129882812,468800,0.0,0.0,152.0596435546875,47.77435827706395,152.34286366750496,153.09343353961293,-0.7505698721079739,-0.6563638420992765,2.203938787621668,152.5341896057129,156.94206718095623,148.12631203046956
153.76200807273776,154.67113670057321,152.69302963787518,154.411376953125,626900,0.0,0.0,152.1855224609375,53.98955344746484,152.6610964806773,153.19105897765084,-0.5299624969735532,-0.6310835730741319,1.8212314407834418,152.3448715209961,155.98733440256296,148.70240863942922
156.1596987077477,157.43846671263083,154.7410659287092,156.429443359375,513600,0.0,0.0,153.06467895507814,57.18250578187237,153.24084215432308,153.43093930222298,-0.1900971478999054,-0.5428862880392866,2.034729180348113,152.56366119384765,156.63311955454387,148.49420283315143
155.85998578863268,156.70917458344667,155.1007220414008,156.39947509765625,557800,0.0,0.0,153.51824340820312,54.622158075385734,153.72678568406664,153.65083084262542,0.07595484144121656,-0.41911806214318603,2.0597386514510325,152.91582260131835,157.0352999042204,148.7963452984163
